time_s,linear_x,angular_z
1776917243.961810,-0.249100,-0.728590
1776917243.981894,-0.252911,-0.733601
1776917244.001877,-0.256814,-0.738672
1776917244.021858,-0.260000,-0.743827
1776917244.042351,-0.260000,-0.749201
1776917244.062000,-0.260000,-0.754432
1776917244.081855,-0.260000,-0.759797
1776917244.101960,-0.260000,-0.765307
1776917244.122325,-0.260000,-0.770967
1776917244.142004,-0.260000,-0.776508
1776917244.161949,-0.260000,-0.782195
1776917244.181962,-0.260000,-0.787970
1776917244.202085,-0.260000,-0.793845
1776917244.221942,-0.260000,-0.799705
1776917244.241834,-0.260000,-0.805637
1776917244.262074,-0.260000,-0.811739
1776917244.281866,-0.260000,-0.817752
1776917244.301929,-0.260000,-0.823903
1776917244.321901,-0.260000,-0.830077
1776917244.341937,-0.260000,-0.836317
1776917244.362581,-0.260000,-0.842793
1776917244.382146,-0.260000,-0.848970
1776917244.402025,-0.260000,-0.855282
1776917244.422288,-0.260000,-0.861750
1776917244.441936,-0.260000,-0.868051
1776917244.461737,-0.260000,-0.874426
1776917244.481951,-0.260000,-0.880957
1776917244.502075,-0.260000,-0.887477
1776917244.522178,-0.260000,-0.894006
1776917244.542289,-0.260000,-0.900546
1776917244.562012,-0.260000,-0.906967
1776917244.582050,-0.260000,-0.913493
1776917244.601922,-0.260000,-0.919962
1776917244.622072,-0.260000,-0.926515
1776917244.641958,-0.260000,-0.932971
1776917244.662094,-0.260000,-0.939492
1776917244.681977,-0.260000,-0.945912
1776917244.702838,-0.260000,-0.952621
1776917244.721863,-0.260000,-0.958712
1776917244.741897,-0.260000,-0.965092
1776917244.761947,-0.260000,-0.971439
1776917244.781994,-0.260000,-0.977741
1776917244.802078,-0.260000,-0.984006
1776917244.821932,-0.260000,-0.990147
1776917244.841937,-0.260000,-0.996277
1776917244.861902,-0.260000,-1.002331
1776917244.881908,-0.260000,-1.008330
1776917244.901936,-0.260000,-1.014263
1776917244.921994,-0.260000,-1.020127
1776917244.941926,-0.260000,-1.025872
1776917244.961985,-0.260000,-1.031565
1776917244.982094,-0.260000,-1.037178
1776917245.002087,-0.260000,-1.042662
1776917245.021803,-0.260000,-1.047969
1776917245.041991,-0.260000,-1.053295
1776917245.061906,-0.260000,-1.058437
1776917245.081733,-0.260000,-1.063441
1776917245.101883,-0.260000,-1.068403
1776917245.122010,-0.260000,-1.073231
1776917245.141957,-0.260000,-1.077883
1776917245.161948,-0.260000,-1.082410
1776917245.181967,-0.260000,-1.086802
1776917245.201902,-0.260000,-1.091030
1776917245.222932,-0.260000,-1.095328
1776917245.241995,-0.260000,-1.099075
1776917245.262031,-0.260000,-1.102857
1776917245.282006,-0.260000,-1.106463
1776917245.302041,-0.260000,-1.109911
1776917245.322043,-0.260000,-1.113181
1776917245.341989,-0.260000,-1.116265
1776917245.361994,-0.260000,-1.119176
1776917245.382326,-0.260000,-1.121946
1776917245.402076,-0.260000,-1.124449
1776917245.422139,-0.260000,-1.126799
1776917245.441903,-0.260000,-1.128920
1776917245.461912,-0.260000,-1.130868
1776917245.481933,-0.260000,-1.132613
1776917245.501964,-0.260000,-1.134150
1776917245.521988,-0.260000,-1.135476
1776917245.541956,-0.260000,-1.136585
1776917245.561888,-0.260000,-1.137475
1776917245.582197,-0.260000,-1.138159
1776917245.601992,-0.260000,-1.138603
1776917245.621951,-0.260000,-1.138829
1776917245.642026,-0.260000,-1.138826
1776917245.661937,-0.260000,-1.138595
1776917245.682316,-0.260000,-1.047362
1776917245.701920,-0.260000,-1.033102
1776917245.722146,-0.260000,-1.032501
1776917245.742394,-0.260000,-1.031701
1776917245.761920,-0.260000,-1.030741
1776917245.781974,-0.260000,-1.029562
1776917245.801811,-0.260000,-1.028200
1776917245.821883,-0.260000,-1.026624
1776917245.842286,-0.260000,-1.024817
1776917245.861921,-0.260000,-1.022882
1776917245.881841,-0.260000,-0.985605
1776917245.901889,-0.260000,-0.983484
1776917245.921889,-0.260000,-0.951522
1776917245.941969,-0.260000,-0.949268
1776917245.961954,-0.260000,-0.946851
1776917245.982774,-0.260000,-0.944150
1776917246.002012,-0.260000,-0.941488
1776917246.021978,-0.260000,-0.938557
1776917246.042170,-0.260000,-0.935418
1776917246.062039,-0.260000,-0.932158
1776917246.081979,-0.260000,-0.928716
1776917246.101947,-0.260000,-0.925100
1776917246.122007,-0.260000,-0.921297
1776917246.141756,-0.260000,-0.867055
1776917246.161970,-0.260000,-0.863617
1776917246.181755,-0.260000,-0.795165
1776917246.201899,-0.260000,-0.792470
1776917246.221875,-0.260000,-0.789685
1776917246.242088,-0.260000,-0.786752
1776917246.261936,-0.260000,-0.783761
1776917246.281963,-0.260000,-0.780633
1776917246.302514,-0.260000,-0.774792
1776917246.322015,-0.260000,-0.765796
1776917246.341999,-0.260000,-0.755458
1776917246.361981,-0.260000,-0.743972
1776917246.381952,-0.260000,-0.731329
1776917246.401955,-0.260000,-0.717485
1776917246.421909,-0.260000,-0.702484
1776917246.441790,-0.260000,-0.686341
1776917246.461928,-0.260000,-0.002744
1776917246.482072,-0.260000,0.001200
1776917246.502497,-0.260000,0.005183
1776917246.522019,-0.260000,0.008975
1776917246.542035,-0.260000,0.033807
1776917246.562084,-0.260000,0.037477
1776917246.582740,-0.260000,0.041245
1776917246.601956,-0.260000,0.044737
1776917246.622062,-0.260000,0.070151
1776917246.642031,-0.260000,0.088393
1776917246.661943,-0.260000,0.085632
1776917246.682613,-0.260000,0.082794
1776917246.702536,-0.260000,0.080086
1776917246.721935,-0.260000,0.077473
1776917246.742311,-0.260000,0.074755
1776917246.762505,-0.260000,0.072086
1776917246.782152,-0.260000,0.069514
1776917246.801865,-0.260000,0.066957
1776917246.821847,-0.260000,0.064388
1776917246.841948,-0.260000,0.061827
1776917246.862012,-0.260000,0.059294
1776917246.881947,-0.260000,0.056800
1776917246.902101,-0.260000,0.054300
1776917246.921899,-0.260000,0.051866
1776917246.941921,-0.260000,0.049425
1776917246.961824,-0.260000,0.047020
1776917246.981968,-0.260000,0.044606
1776917247.001886,-0.260000,0.042239
1776917247.021711,-0.260000,0.076685
1776917247.041905,-0.260000,0.073943
1776917247.061905,-0.260000,0.071246
1776917247.081971,-0.260000,0.068559
1776917247.101915,-0.260000,0.065906
1776917247.121960,-0.260000,0.063257
1776917247.141995,-0.260000,0.060627
1776917247.161915,-0.260000,0.058028
1776917247.181912,-0.260000,0.055436
1776917247.202010,-0.260000,0.052846
1776917247.221825,-0.260000,0.050309
1776917247.242111,-0.260000,0.047726
1776917247.261962,-0.260000,0.045213
1776917247.281963,-0.260000,0.042696
1776917247.302212,-0.260000,0.040162
1776917247.322467,-0.260000,0.037641
1776917247.342010,-0.260000,0.035845
1776917247.362688,-0.260000,0.035786
1776917247.382292,-0.260000,0.035736
1776917247.401987,-0.260000,0.035690
1776917247.421983,-0.260000,0.035650
1776917247.441955,-0.260000,0.035614
1776917247.462058,-0.260000,0.035584
1776917247.481984,-0.260000,0.035559
1776917247.502714,-0.260000,0.035539
1776917247.522188,-0.260000,0.035525
1776917247.542092,-0.260000,0.035516
1776917247.561897,-0.260000,0.035511
1776917247.581923,-0.260000,0.035512
1776917247.601931,-0.260000,0.035517
1776917247.621894,-0.260000,0.035528
1776917247.641912,-0.260000,0.035543
1776917247.661866,-0.260000,0.035563
1776917247.682229,-0.260000,0.035588
1776917247.701932,-0.260000,0.035617
1776917247.721888,-0.260000,0.035651
1776917247.741859,-0.260000,0.035689
1776917247.762285,-0.260000,0.035733
1776917247.782105,-0.260000,0.035780
1776917247.801911,-0.260000,0.035831
1776917247.821900,-0.260000,0.035886
1776917247.841914,-0.260000,0.035946
1776917247.862007,-0.260000,0.036010
1776917247.882343,-0.260000,0.036078
1776917247.901978,-0.260000,0.036148
1776917247.921847,-0.260000,0.036223
1776917247.941991,-0.260000,0.036302
1776917247.961965,-0.260000,0.036384
1776917247.981888,-0.260000,0.066477
1776917248.002014,-0.260000,0.066162
1776917248.021930,-0.260000,0.065857
1776917248.041919,-0.260000,0.065558
1776917248.061938,-0.260000,0.065266
1776917248.082237,-0.260000,0.064977
1776917248.101973,-0.260000,0.064703
1776917248.121894,-0.260000,0.064433
1776917248.141881,-0.260000,0.064168
1776917248.161768,-0.260000,0.063912
1776917248.182065,-0.260000,0.063656
1776917248.202034,-0.260000,0.063412
1776917248.222035,-0.260000,0.063172
1776917248.241915,-0.260000,0.062941
1776917248.262406,-0.260000,0.062708
1776917248.281949,-0.260000,0.062491
1776917248.302305,-0.260000,0.062272
1776917248.322005,-0.260000,0.062065
1776917248.342005,-0.260000,0.061860
1776917248.362027,-0.260000,0.061660
1776917248.381922,-0.260000,0.061466
1776917248.402975,-0.260000,0.061266
1776917248.421972,-0.260000,0.061090
1776917248.441960,-0.260000,0.060910
1776917248.462087,-0.260000,0.060733
1776917248.481919,-0.260000,0.060562
1776917248.502265,-0.260000,0.060392
1776917248.522021,-0.260000,0.060230
1776917248.542025,-0.260000,0.060070
1776917248.562127,-0.260000,0.059913
1776917248.582003,-0.260000,0.059761
1776917248.602031,-0.260000,0.059611
1776917248.622006,-0.260000,0.059465
1776917248.641962,-0.260000,0.059322
1776917248.662112,-0.260000,0.059180
1776917248.681946,-0.260000,0.059043
1776917248.701987,-0.260000,0.058907
1776917248.721923,-0.260000,0.058774
1776917248.741943,-0.260000,0.058643
1776917248.762026,-0.260000,0.058513
1776917248.781968,-0.260000,0.058385
1776917248.803140,-0.260000,0.058252
1776917248.822064,-0.260000,0.058133
1776917248.841951,-0.260000,0.058010
1776917248.861955,-0.260000,0.057887
1776917248.882089,-0.260000,0.057764
1776917248.902023,-0.260000,0.057643
1776917248.922176,-0.260000,0.057520
1776917248.941848,-0.260000,0.057401
1776917248.961910,-0.260000,0.057279
1776917248.981998,-0.260000,0.057157
