time_s,linear_x,angular_z
1776733180.512634,0.300000,0.161208
1776733180.532680,0.300000,0.165386
1776733180.552807,0.300000,0.140689
1776733180.572742,0.300000,0.141365
1776733180.592693,0.300000,0.142048
1776733180.612940,0.300000,0.142746
1776733180.632771,0.300000,0.140298
1776733180.652629,0.300000,0.140957
1776733180.672668,0.300000,0.141627
1776733180.692702,0.300000,0.142303
1776733180.712711,0.300000,0.132669
1776733180.732890,0.300000,0.133240
1776733180.752611,0.300000,0.133803
1776733180.772648,0.300000,0.134380
1776733180.792742,0.300000,0.130894
1776733180.813351,0.300000,0.131450
1776733180.832992,0.300000,0.131984
1776733180.852647,0.300000,0.132524
1776733180.872619,0.300000,0.133077
1776733180.892685,0.300000,0.133639
1776733180.912814,0.300000,0.128830
1776733180.932610,0.300000,0.129331
1776733180.952612,0.300000,0.129842
1776733180.972826,0.300000,0.130363
1776733180.992760,0.300000,0.130882
1776733181.013324,0.300000,0.131423
1776733181.032748,0.300000,0.134413
1776733181.053262,0.300000,0.134992
1776733181.073880,0.300000,0.135579
1776733181.093449,0.300000,0.136140
1776733181.113223,0.300000,0.134050
1776733181.132819,0.300000,0.134590
1776733181.152741,0.300000,0.135143
1776733181.172759,0.300000,0.135703
1776733181.192743,0.300000,0.136267
1776733181.212608,0.300000,0.133501
1776733181.232611,0.300000,0.134033
1776733181.252684,0.300000,0.134572
1776733181.272650,0.300000,0.135112
1776733181.292658,0.300000,0.126786
1776733181.312579,0.300000,0.127224
1776733181.332616,0.300000,0.102777
1776733181.352928,0.300000,0.103166
1776733181.372630,0.300000,0.103546
1776733181.392633,0.300000,0.103934
1776733181.412659,0.300000,0.099924
1776733181.432980,0.300000,0.100272
1776733181.454006,0.300000,0.100634
1776733181.474271,0.300000,0.100985
1776733181.494361,0.300000,0.098081
1776733181.513606,0.300000,0.098382
1776733181.534663,0.300000,0.098713
1776733181.552951,0.300000,0.099002
1776733181.573785,0.300000,0.099334
1776733181.595703,0.300000,0.103672
1776733181.613837,0.300000,0.104006
1776733181.633049,0.300000,0.104361
1776733181.652987,0.300000,0.104731
1776733181.673093,0.300000,0.094982
1776733181.692656,0.300000,0.095231
1776733181.712764,0.300000,0.095488
1776733181.732627,0.300000,0.095742
1776733181.752767,0.300000,0.096002
1776733181.772479,0.300000,0.096257
1776733181.793328,0.300000,0.096527
1776733181.812993,0.300000,0.099587
1776733181.832652,0.300000,0.099875
1776733181.852684,0.300000,0.100169
1776733181.872644,0.300000,0.100463
1776733181.892657,0.300000,0.100758
1776733181.912532,0.300000,0.101051
1776733181.932742,0.300000,0.091231
1776733181.952624,0.300000,0.091407
1776733181.972653,0.300000,0.091585
1776733181.992611,0.300000,0.091762
1776733182.012949,0.300000,0.089875
1776733182.032340,0.300000,0.090023
1776733182.052748,0.300000,0.090179
1776733182.072673,0.300000,0.090330
1776733182.092835,0.300000,0.088124
1776733182.112656,0.300000,0.088246
1776733182.132779,0.300000,0.068880
1776733182.152589,0.300000,0.068988
1776733182.173186,0.300000,0.069101
1776733182.192653,0.300000,0.067199
1776733182.212879,0.300000,0.067288
1776733182.233649,0.300000,0.067379
1776733182.253730,0.300000,0.067468
1776733182.272960,0.300000,0.072670
1776733182.293122,0.300000,0.072819
1776733182.313550,0.300000,0.072970
1776733182.332553,0.300000,0.073111
1776733182.352859,0.300000,0.073262
1776733182.372643,0.300000,0.073409
1776733182.392653,0.300000,0.073558
1776733182.412876,0.300000,0.073708
1776733182.432864,0.300000,0.069340
1776733182.452657,0.300000,0.069435
1776733182.472779,0.300000,0.069532
1776733182.492691,0.300000,0.069628
1776733182.512834,0.300000,0.069724
1776733182.532780,0.300000,0.060434
1776733182.552872,0.300000,0.060421
1776733182.572697,0.300000,0.060407
1776733182.592737,0.300000,0.060393
1776733182.612679,0.300000,0.058881
1776733182.632498,0.300000,0.058848
1776733182.652608,0.300000,0.058814
1776733182.672733,0.300000,0.058779
1776733182.692872,0.300000,0.058743
1776733182.712615,0.300000,0.058706
1776733182.732594,0.300000,0.063109
1776733182.752621,0.300000,0.063121
1776733182.772545,0.300000,0.063131
1776733182.792546,0.300000,0.063140
1776733182.813228,0.300000,0.054339
1776733182.832490,0.300000,0.054247
1776733182.853268,0.300000,0.054146
1776733182.872771,0.300000,0.054049
1776733182.892604,0.300000,0.053950
1776733182.912688,0.300000,0.053847
1776733182.932926,0.300000,0.042853
1776733182.952784,0.300000,0.040242
1776733182.973047,0.300000,0.040102
1776733182.992662,0.300000,0.039967
1776733183.012654,0.300000,0.039828
1776733183.032660,0.300000,0.038336
1776733183.053014,0.300000,0.038177
1776733183.072653,0.300000,0.038023
1776733183.092676,0.300000,0.037864
1776733183.112512,0.300000,0.036060
1776733183.132632,0.300000,0.035880
1776733183.153043,0.300000,0.035697
1776733183.172950,0.300000,0.035517
1776733183.192627,0.300000,0.035337
1776733183.212697,0.300000,0.033947
1776733183.232559,0.300000,0.033751
1776733183.253069,0.300000,0.033546
1776733183.272543,0.300000,0.033351
1776733183.292447,0.300000,0.031649
1776733183.312468,0.300000,0.031429
1776733183.333069,0.300000,0.031202
1776733183.352645,0.300000,0.030984
1776733183.372913,0.300000,0.030758
1776733183.392634,0.300000,0.030536
1776733183.412569,0.300000,0.028273
1776733183.432811,0.300000,0.028020
1776733183.452677,0.300000,0.027770
1776733183.472682,0.300000,0.027517
1776733183.492834,0.300000,0.026514
1776733183.512830,0.300000,0.026250
1776733183.532662,0.300000,0.025986
1776733183.552633,0.300000,0.025719
1776733183.573106,0.300000,0.025444
1776733183.592683,0.300000,0.024498
1776733183.612646,0.300000,0.024219
1776733183.632670,0.300000,0.023937
1776733183.652665,0.300000,0.023654
1776733183.672504,0.300000,0.022544
1776733183.692668,0.300000,0.022246
1776733183.714009,0.300000,0.021929
1776733183.732495,0.300000,0.019798
1776733183.752967,0.300000,0.019489
1776733183.772570,0.300000,0.019192
1776733183.792580,0.300000,0.018887
1776733183.812792,0.300000,0.017660
1776733183.832576,0.300000,0.017346
1776733183.852594,0.300000,0.017026
1776733183.872676,0.300000,0.016704
