time_s,x,y,yaw_rad
1776732880.761771,2.522727,5.562969,-1.426828
1776732880.847581,2.526273,5.535710,-1.456047
1776732880.935735,2.529794,5.508489,-1.428289
1776732881.019536,2.533113,5.485162,-1.430627
1776732881.147146,2.538523,5.442305,-1.459846
1776732881.235136,2.541924,5.415068,-1.433257
1776732881.323891,2.545273,5.388032,-1.461891
1776732881.409864,2.548618,5.360788,-1.435302
1776732881.544678,2.553819,5.317658,-1.466274
1776732881.675601,2.557850,5.278637,-1.469488
1776732881.759827,2.560981,5.251327,-1.443775
1776732881.845861,2.564057,5.224011,-1.473578
1776732881.931492,2.567092,5.196690,-1.446697
1776732882.016530,2.570079,5.169446,-1.476500
1776732882.193472,2.575171,5.114663,-1.479714
1776732882.278039,2.577279,5.091442,-1.480883
1776732882.364458,2.580090,5.064262,-1.454586
1776732882.448532,2.583687,5.033094,-1.457216
1776732882.535364,2.586346,5.009600,-1.458969
1776732882.663339,2.590672,4.970610,-1.461599
1776732882.747416,2.594051,4.939500,-1.463644
1776732882.834689,2.596560,4.915949,-1.465689
1776732882.919847,2.599811,4.884784,-1.468027
1776732883.056701,2.602862,4.849614,-1.500460
1776732883.181280,2.605540,4.810558,-1.504258
1776732883.266472,2.607579,4.779331,-1.506888
1776732883.356436,2.609652,4.752126,-1.482636
1776732883.438620,2.611699,4.728694,-1.484681
1776732883.523168,2.614344,4.697308,-1.488772
1776732883.644448,2.617472,4.658204,-1.493155
1776732883.726207,2.618703,4.638566,-1.523250
1776732883.811269,2.620351,4.611045,-1.498706
1776732883.942631,2.622762,4.567833,-1.531431
1776732884.024743,2.623653,4.544247,-1.534645
1776732884.202410,2.625439,4.489544,-1.541658
1776732884.283147,2.626570,4.462242,-1.517114
1776732884.367240,2.627617,4.434855,-1.548086
1776732884.455123,2.628111,4.411421,-1.551300
1776732884.538591,2.628676,4.380092,-1.554222
1776732884.659702,2.629681,4.344927,-1.530263
1776732884.743061,2.630364,4.317487,-1.561527
1776732884.827121,2.630963,4.289882,-1.536691
1776732884.916363,2.631488,4.262357,-1.566786
1776732885.052614,2.631547,4.223210,-1.571753
1776732885.175587,2.631935,4.188033,-1.547794
1776732885.261788,2.632599,4.156583,-1.551592
1776732885.348361,2.632693,4.129013,-1.583148
1776732885.435133,2.632691,4.101687,-1.558605
1776732885.523172,2.633030,4.070110,-1.561527
1776732885.645775,2.633290,4.031004,-1.566786
1776732885.733211,2.633357,4.007442,-1.569123
1776732885.820739,2.633345,3.975863,-1.573214
1776732885.957670,2.633164,3.936634,-1.577597
1776732886.043886,2.632892,3.905342,-1.581395
1776732886.236627,2.632158,3.850492,-1.586947
1776732886.321301,2.631267,3.822854,-1.619087
1776732886.455424,2.629686,3.780013,-1.596297
1776732886.538812,2.629055,3.756501,-1.598926
1776732886.662551,2.627850,3.717331,-1.604186
1776732886.746719,2.626505,3.689916,-1.635450
1776732886.832721,2.625065,3.662301,-1.610322
1776732886.950096,2.624661,3.631051,-1.557144
1776732887.037627,2.624162,3.599558,-1.616166
1776732887.158881,2.622308,3.560372,-1.619964
1776732887.246141,2.620742,3.528914,-1.621133
1776732887.331445,2.619533,3.505465,-1.623470
1776732887.415658,2.617667,3.478080,-1.654150
1776732887.554798,2.614327,3.438994,-1.657948
1776732887.681042,2.610850,3.399919,-1.661162
1776732887.764434,2.608728,3.372553,-1.635158
1776732887.854522,2.606677,3.341286,-1.637495
1776732887.939253,2.605093,3.317736,-1.638372
1776732888.025727,2.602974,3.286556,-1.638956
1776732888.210700,2.599214,3.231953,-1.640125
1776732888.346291,2.596502,3.192818,-1.639833
1776732888.431612,2.594310,3.161437,-1.641294
1776732888.520966,2.592649,3.138016,-1.641878
1776732888.645812,2.589828,3.098807,-1.643339
1776732888.729481,2.587546,3.067597,-1.644215
1776732888.815301,2.585131,3.040132,-1.672850
1776732888.949669,2.581118,3.001068,-1.673434
1776732889.035574,2.578709,2.973808,-1.644508
1776732889.158953,2.575808,2.934604,-1.644800
1776732889.335972,2.573674,2.887610,-1.587531
1776732889.710090,2.568442,2.762260,-1.637495
1776732889.829807,2.565864,2.723157,-1.635742
1776732889.915623,2.564337,2.699563,-1.635158
1776732890.043882,2.561841,2.660577,-1.634281
1776732890.218840,2.558380,2.605872,-1.633697
1776732890.351523,2.555492,2.559042,-1.631067
1776732890.435945,2.554069,2.535400,-1.630775
1776732890.518450,2.552664,2.511839,-1.629898
1776732890.637691,2.550378,2.472513,-1.627853
1776732890.756296,2.548612,2.441351,-1.626976
1776732890.842128,2.546200,2.406542,-1.652981
1776732890.927434,2.544379,2.384241,-1.651520
1776732891.009832,2.542762,2.360652,-1.626976
1776732891.134238,2.541075,2.331043,-1.628437
1776732891.221714,2.539837,2.312677,-1.647722
1776732891.358295,2.538123,2.287824,-1.631651
1776732891.444606,2.537207,2.272799,-1.631651
1776732891.533627,2.536621,2.263204,-1.631944
1776732891.658549,2.535847,2.250628,-1.632528
1776732891.743490,2.535403,2.243484,-1.633405
1776732891.833499,2.535196,2.240300,-1.638080
1776732891.916476,2.534938,2.236422,-1.636034
1776732892.054741,2.534563,2.230380,-1.629606
1776732892.227815,2.534128,2.222743,-1.625808
1776732892.316935,2.533968,2.219802,-1.624639
1776732892.450310,2.533656,2.213756,-1.619964
1776732892.535179,2.533514,2.210814,-1.618211
1776732892.658968,2.533313,2.206482,-1.615873
1776732892.748381,2.533173,2.203377,-1.615873
1776732892.835090,2.533025,2.199862,-1.610030
1776732892.918233,2.532918,2.197082,-1.608276
1776732893.056164,2.532750,2.192381,-1.605062
1776732893.180274,2.532614,2.188211,-1.601556
1776732893.264860,2.532535,2.185553,-1.599511
1776732893.351222,2.532444,2.182282,-1.597758
1776732893.437698,2.532383,2.179951,-1.595712
1776732893.569158,2.532297,2.176230,-1.592498
1776732893.692858,2.532223,2.172508,-1.588700
1776732893.779305,2.532173,2.169481,-1.585778
1776732893.862712,2.532144,2.167436,-1.584609
1776732893.949457,2.532109,2.164614,-1.581395
1776732894.036698,2.532089,2.162487,-1.579642
1776732894.210496,2.532059,2.158069,-1.575552
1776732894.344326,2.532049,2.154674,-1.571753
1776732894.431079,2.532049,2.151974,-1.569416
1776732894.514928,2.532054,2.150256,-1.567078
1776732894.637933,2.532070,2.147188,-1.563864
1776732894.720242,2.532084,2.145266,-1.562988
1776732894.856362,2.532118,2.142280,-1.556267
1776732894.940541,2.532146,2.140480,-1.553930
1776732895.026384,2.532189,2.138149,-1.550716
1776732895.144029,2.532239,2.135736,-1.549255
1776732895.228389,2.532281,2.133977,-1.544872
1776732895.353680,2.532332,2.132178,-1.540197
1776732895.437697,2.532402,2.129929,-1.539320
1776732895.520017,2.532449,2.128457,-1.538152
1776732895.643876,2.532538,2.125923,-1.533477
1776732895.730451,2.532615,2.123961,-1.528802
1776732895.819611,2.532673,2.122612,-1.526756
1776732895.954028,2.532780,2.120283,-1.523542
1776732896.035793,2.532865,2.118567,-1.518867
1776732896.216265,2.533013,2.115871,-1.513024
1776732896.345537,2.533175,2.113217,-1.506888
1776732896.430391,2.533251,2.112033,-1.506595
1776732896.516647,2.533353,2.110482,-1.503089
1776732896.641432,2.533477,2.108728,-1.497538
1776732896.725001,2.533582,2.107341,-1.492278
