time,x,y,psi,v,omega
20.4444,5.5472,11.9544,2.0509,0.2200,-0.7993
20.8889,5.5171,12.0254,1.7068,0.1175,-0.7491
21.3333,5.5171,12.0974,1.3941,0.1846,-0.6582
21.7778,5.5449,12.1886,1.1607,0.2200,-0.3923
22.2222,5.5947,12.2781,1.0276,0.2200,-0.2063
22.6667,5.6548,12.3602,0.9596,0.2200,-0.0996
23.1111,5.7196,12.4384,0.9206,0.2200,-0.0763
23.5556,5.7871,12.5141,0.8816,0.2200,-0.0991
24.0000,5.8202,12.5514,0.8596,-0.0000,0.0000
24.0000,5.8202,12.5514,0.8596,0.0000,0.0000
24.4444,5.8520,12.5884,0.5929,0.2200,-1.2000
24.8889,5.9333,12.6431,0.0596,0.2200,-1.1999
25.3333,6.0309,12.6490,-0.3214,0.2200,-0.5144
25.7778,6.1242,12.6181,-0.4822,0.2200,-0.2094
26.2222,6.2122,12.5729,-0.5433,0.2200,-0.0653
26.6667,6.2980,12.5226,-0.5626,0.2200,-0.0217
27.1111,6.3836,12.4709,-0.5492,0.2200,0.0822
27.5556,6.4704,12.4204,-0.4890,0.2200,0.1883
28.0000,6.5144,12.3975,-0.4472,-0.0000,0.0000
28.0000,6.5144,12.3975,-0.4472,-0.0000,-0.0000
28.4444,6.4752,12.4149,-0.3337,-0.1937,0.5106
28.8889,6.4315,12.4280,-0.0909,-0.0206,0.5823
29.3333,6.4630,12.4260,0.1524,0.1516,0.5125
29.7778,6.5424,12.4387,0.3568,0.2050,0.4072
30.2222,6.6311,12.4719,0.5147,0.2199,0.3033
30.6667,6.7162,12.5200,0.6256,0.2200,0.1960
31.1111,6.7955,12.5773,0.6915,0.2200,0.1004
31.5556,6.8707,12.6396,0.7207,0.2200,0.0309
32.0000,6.9075,12.6718,0.7276,0.0000,0.0000
32.0000,6.9635,13.0718,-3.1856,0.0000,-0.0000
32.4444,7.0127,13.0698,-3.1505,-0.2200,0.1581
32.8889,7.1112,13.0691,-3.0909,-0.2200,0.1098
33.3333,7.2091,13.0741,-3.0492,-0.2200,0.0781
33.7778,7.3067,13.0832,-3.0213,-0.2200,0.0473
34.2222,7.4040,13.0950,-3.0034,-0.2200,0.0334
34.6667,7.5012,13.1086,-2.9920,-0.2200,0.0175
35.1111,7.5982,13.1232,-2.9859,-0.2200,0.0100
35.5556,7.6951,13.1385,-2.9856,-0.2200,-0.0085
36.0000,7.7434,13.1461,-2.9875,-0.0000,0.0000
36.0000,7.4710,13.9476,-0.2133,-0.0000,0.0000
36.4444,7.5185,13.9362,-0.1250,0.2200,0.3974
36.8889,7.6144,13.9188,0.0364,0.2200,0.3288
37.3333,7.7111,13.9166,0.1636,0.2200,0.2438
37.7778,7.8070,13.9273,0.2566,0.2200,0.1744
38.2222,7.9017,13.9474,0.3218,0.2200,0.1191
38.6667,7.9951,13.9743,0.3644,0.2200,0.0728
39.1111,8.0875,14.0056,0.3883,0.2200,0.0344
39.5556,8.1795,14.0395,0.3980,0.2200,0.0093
40.0000,8.2251,14.0577,0.4000,0.0000,0.0000
40.0000,8.2251,14.0577,0.4000,0.0000,-0.0000
40.4444,8.2495,14.0680,0.1630,0.1178,-1.0667
40.8889,8.2989,14.0763,-0.1078,0.1006,-0.1519
41.3333,8.3707,14.0684,-0.1426,0.2200,-0.0047
41.7778,8.4669,14.0542,-0.1869,0.2200,-0.1947
42.2222,8.5641,14.0363,-0.2226,0.2200,0.0342
42.6667,8.6596,14.0147,-0.1967,0.2200,0.0824
43.1111,8.7558,13.9956,-0.1752,0.2200,0.0145
43.5556,8.8528,13.9787,-0.1725,0.2200,-0.0025
44.0000,8.9012,13.9703,-0.1731,0.0000,0.0000
44.0000,8.9012,13.9703,-0.1731,-0.0000,0.0000
44.4444,8.9495,13.9619,-0.2203,0.2200,-0.2125
44.8889,9.0451,13.9406,-0.2884,0.2200,-0.0939
45.3333,9.1389,13.9128,-0.3168,0.2200,-0.0337
45.7778,9.2318,13.8823,-0.3268,0.2200,-0.0113
46.2222,9.3244,13.8509,-0.3300,0.2200,-0.0032
46.6667,9.4169,13.8192,-0.3304,0.2200,0.0011
47.1111,9.5094,13.7875,-0.3291,0.2200,0.0049
47.5556,9.6020,13.7559,-0.3299,0.2200,-0.0086
48.0000,9.6483,13.7401,-0.3318,0.0000,0.0000
48.0000,9.6483,13.7401,-0.3318,-0.0000,-0.0000
48.4444,9.6945,13.7241,-0.3213,0.2200,0.0475
48.8889,9.7873,13.6933,-0.3063,0.2200,0.0201
49.3333,9.8805,13.6638,-0.3003,0.2200,0.0070
49.7778,9.9739,13.6349,-0.2982,0.2200,0.0025
50.2222,10.0674,13.6061,-0.2974,0.2200,0.0011
50.6667,10.1609,13.5775,-0.2969,0.2200,0.0011
51.1111,10.2544,13.5489,-0.2962,0.2200,0.0020
51.5556,10.3479,13.5203,-0.2957,0.2200,0.0002
52.0000,10.3947,13.5061,-0.2956,0.0000,0.0000
52.0000,10.3947,13.5061,-0.2956,0.0000,-0.0000
52.4444,10.4416,13.4918,-0.2984,0.2200,-0.0124
52.8889,10.5356,13.4631,-0.3079,0.2200,-0.0301
53.3333,10.6288,13.4334,-0.3242,0.2200,-0.0436
53.7778,10.7216,13.4023,-0.3387,0.2200,-0.0212
54.2222,10.8139,13.3698,-0.3453,0.2200,-0.0085
54.6667,10.9060,13.3367,-0.3476,0.2200,-0.0019
55.1111,10.9981,13.3034,-0.3459,0.2200,0.0094
55.5556,11.0902,13.2703,-0.3346,0.2200,0.0414
56.0000,11.1364,13.2542,-0.3254,-0.0000,0.0000
56.0000,11.1364,13.2542,-0.3254,0.0000,0.0000
56.4444,11.1828,13.2386,-0.3286,0.2200,-0.0144
56.8889,11.2759,13.2069,-0.3358,0.2200,-0.0179
57.3333,11.3686,13.1746,-0.3474,0.2200,-0.0340
57.7778,11.4607,13.1413,-0.3673,0.2200,-0.0554
58.2222,11.5520,13.1062,-0.3876,0.2200,-0.0360
58.6667,11.6428,13.0692,-0.3980,0.2200,-0.0110
59.1111,11.7334,13.0314,-0.3986,0.2200,0.0083
59.5556,11.8239,12.9934,-0.3979,0.2200,-0.0049
60.0000,11.8691,12.9745,-0.3990,0.0000,0.0000
60.0000,12.5048,12.5581,-0.2972,0.0000,0.0000
60.4444,12.5510,12.5440,-0.4825,0.2162,-0.8338
60.8889,12.6371,12.4988,-0.8041,0.2200,-0.6136
61.3333,12.7037,12.4276,-1.0007,0.2200,-0.2712
61.7778,12.7539,12.3441,-1.0677,0.2200,-0.0301
62.2222,12.7972,12.2569,-1.0911,0.2200,-0.0752
62.6667,12.8374,12.1684,-1.1189,0.2200,-0.0498
63.1111,12.8741,12.0786,-1.1609,0.2200,-0.1393
63.5556,12.9062,11.9872,-1.2107,0.2200,-0.0849
64.0000,12.9215,11.9410,-1.2296,-0.0000,0.0000
64.0000,12.9215,11.9410,-1.2296,0.0000,0.0000
64.4444,12.9376,11.8950,-0.9631,0.2200,1.1989
64.8889,12.9918,11.8153,-0.5226,0.2200,0.7835
65.3333,13.0762,11.7666,-0.2719,0.2200,0.3446
65.7778,13.1704,11.7404,-0.1572,0.2200,0.1717
66.2222,13.2667,11.7251,-0.1025,0.2200,0.0744
66.6667,13.3637,11.7152,-0.0781,0.2200,0.0354
67.1111,13.4608,11.7077,-0.0660,0.2200,0.0188
67.5556,13.5579,11.7013,-0.0672,0.2200,-0.0240
68.0000,13.6066,11.6981,-0.0725,-0.0000,0.0000
68.0000,13.6066,11.6981,-0.0725,-0.0000,-0.0000
68.4444,13.6553,11.6946,-0.1078,0.2200,-0.1588
68.8889,13.7523,11.6841,-0.1690,0.2200,-0.1165
69.3333,13.8485,11.6677,-0.2112,0.2200,-0.0736
69.7778,13.9441,11.6472,-0.2380,0.2200,-0.0469
70.2222,14.0391,11.6242,-0.2546,0.2200,-0.0281
70.6667,14.1337,11.5995,-0.2645,0.2200,-0.0162
71.1111,14.2280,11.5740,-0.2696,0.2200,-0.0070
71.5556,14.3222,11.5479,-0.2717,0.2200,-0.0022
72.0000,14.3693,11.5348,-0.2721,-0.0000,0.0000
72.0000,14.3693,11.5348,-0.2721,0.0000,-0.0000
72.4444,14.4164,11.5217,-0.2790,0.2200,-0.0308
72.8889,14.5104,11.4948,-0.2914,0.2200,-0.0252
73.3333,14.6040,11.4667,-0.3011,0.2200,-0.0184
73.7778,14.6974,11.4377,-0.3081,0.2200,-0.0131
74.2222,14.7906,11.4080,-0.3130,0.2200,-0.0088
74.6667,14.8836,11.3779,-0.3162,0.2200,-0.0054
75.1111,14.9765,11.3475,-0.3179,0.2200,-0.0025
75.5556,15.0694,11.3169,-0.3186,0.2200,-0.0005
76.0000,15.1158,11.3016,-0.3187,-0.0000,0.0000
76.0000,15.1158,11.3016,-0.3187,-0.0000,0.0000
76.4444,15.1613,11.2866,-0.3115,0.2156,0.0324
76.8889,15.2533,11.2570,-0.2977,0.2191,0.0299
77.3333,15.3465,11.2284,-0.2855,0.2195,0.0247
77.7778,15.4401,11.2009,-0.2757,0.2196,0.0194
78.2222,15.5340,11.1743,-0.2682,0.2196,0.0144
78.6667,15.6282,11.1485,-0.2629,0.2196,0.0095
79.1111,15.7224,11.1231,-0.2597,0.2196,0.0049
79.5556,15.8168,11.0980,-0.2583,0.2197,0.0014
80.0000,15.8640,11.0855,-0.2580,-0.0000,0.0000
80.0000,15.8640,11.0855,-0.2580,-0.0000,-0.0000
80.4444,15.9071,11.0742,-0.2459,0.2006,0.0542
80.8889,15.9935,11.0524,-0.2227,0.1998,0.0503
81.3333,16.0807,11.0326,-0.2022,0.2023,0.0420
81.7778,16.1696,11.0144,-0.1854,0.2057,0.0334
82.2222,16.2603,10.9973,-0.1724,0.2098,0.0250
82.6667,16.3529,10.9812,-0.1632,0.2132,0.0166
83.1111,16.4469,10.9657,-0.1576,0.2158,0.0086
83.5556,16.5421,10.9506,-0.1551,0.2184,0.0028
84.0000,16.5901,10.9431,-0.1545,-0.0000,0.0000
84.0000,16.5901,10.9431,-0.1545,0.0000,-0.0000
84.4444,16.6280,10.9372,-0.1612,0.1727,-0.0305
84.8889,16.7053,10.9246,-0.1743,0.1797,-0.0281
85.3333,16.7840,10.9107,-0.1858,0.1802,-0.0236
85.7778,16.8629,10.8959,-0.1951,0.1808,-0.0186
86.2222,16.9417,10.8803,-0.2024,0.1807,-0.0140
86.6667,17.0205,10.8641,-0.2076,0.1814,-0.0092
87.1111,17.0994,10.8474,-0.2107,0.1814,-0.0049
87.5556,17.1787,10.8305,-0.2123,0.1835,-0.0023
88.0000,17.2186,10.8219,-0.2128,0.0000,0.0000
88.0000,17.2186,10.8219,-0.2128,0.0000,0.0000
88.4444,17.2502,10.8150,-0.2199,0.1456,-0.0321
88.8889,17.3149,10.8005,-0.2337,0.1528,-0.0296
89.3333,17.3806,10.7849,-0.2458,0.1510,-0.0250
89.7778,17.4461,10.7685,-0.2557,0.1527,-0.0197
90.2222,17.5112,10.7514,-0.2634,0.1504,-0.0150
90.6667,17.5761,10.7339,-0.2690,0.1519,-0.0099
91.1111,17.6406,10.7161,-0.2724,0.1495,-0.0056
91.5556,17.7052,10.6980,-0.2746,0.1521,-0.0042
92.0000,17.7378,10.6888,-0.2755,0.0000,0.0000
