time_s,linear_x,angular_z
1776930430.807077,-0.009927,0.399328
1776930430.825938,-0.010498,0.414998
1776930430.847631,-0.012352,0.398350
1776930430.866150,-0.012967,0.413342
1776930430.886079,-0.015326,0.380878
1776930430.906203,-0.016067,0.396863
1776930430.926230,-0.018062,0.377884
1776930430.948009,-0.018932,0.394681
1776930430.965912,-0.021027,0.372842
1776930430.986107,-0.021897,0.387988
1776930431.006548,-0.022790,0.402906
1776930431.025879,-0.025797,0.362488
1776930431.046027,-0.026765,0.376921
1776930431.065931,-0.028634,0.357258
1776930431.086678,-0.029698,0.371606
1776930431.106270,-0.030716,0.384730
1776930431.126941,-0.033675,0.348304
1776930431.145871,-0.034742,0.360684
1776930431.166178,-0.036173,0.343462
1776930431.185845,-0.037344,0.355797
1776930431.205988,-0.038556,0.367968
1776930431.226081,-0.040390,0.351913
1776930431.246369,-0.041674,0.363567
1776930431.266432,-0.042956,0.374606
1776930431.286319,-0.046038,0.343054
1776930431.305889,-0.047373,0.353437
1776930431.325892,-0.048328,0.339698
1776930431.346159,-0.049772,0.349790
1776930431.366146,-0.051207,0.359231
1776930431.385875,-0.054348,0.325728
1776930431.405947,-0.055883,0.334846
1776930431.425992,-0.056889,0.315980
1776930431.446977,-0.058568,0.324872
1776930431.466776,-0.060798,0.305149
1776930431.486337,-0.062434,0.312863
1776930431.506622,-0.064141,0.320317
1776930431.526883,-0.068405,0.282372
1776930431.547241,-0.070231,0.289588
1776930431.565978,-0.071920,0.295726
1776930431.585961,-0.072701,0.277398
1776930431.605942,-0.074574,0.283349
1776930431.626952,-0.076851,0.261884
1776930431.646215,-0.078735,0.267088
1776930431.667032,-0.077933,0.254449
1776930431.686033,-0.079850,0.258892
1776930431.705861,-0.081858,0.262976
1776930431.726852,-0.083652,0.243982
1776930431.746498,-0.085717,0.247435
1776930431.765868,-0.087761,0.250290
1776930431.785849,-0.086153,0.239207
1776930431.805891,-0.088322,0.241369
1776930431.826128,-0.090519,0.242952
1776930431.846987,-0.090639,0.231907
1776930431.866912,-0.092854,0.232624
1776930431.886474,-0.093866,0.217673
1776930431.906166,-0.096119,0.217714
1776930431.925967,-0.093431,0.207902
1776930431.946324,-0.095807,0.207065
1776930431.966333,-0.098148,0.205636
1776930431.985923,-0.099135,0.190798
1776930432.006015,-0.101550,0.188680
1776930432.025946,-0.097958,0.179572
1776930432.046634,-0.100484,0.176423
1776930432.066097,-0.099900,0.166385
1776930432.086038,-0.102375,0.162461
1776930432.105695,-0.104817,0.158007
1776930432.126552,-0.104708,0.145168
1776930432.147746,-0.107394,0.139488
1776930432.166715,-0.109800,0.133833
1776930432.186197,-0.105380,0.123527
1776930432.206465,-0.107983,0.116561
1776930432.226108,-0.106758,0.105276
1776930432.246637,-0.109429,0.097298
1776930432.266476,-0.112011,0.088995
1776930432.286296,-0.111279,0.076722
1776930432.306310,-0.113920,0.067496
1776930432.326933,-0.109613,0.055105
