time,x,y,vx,vy,speed
53.777778,6.255618,3.933911,0.088709,0.149999,0.174267
54.222222,6.289285,4.001358,0.071134,0.149999,0.166011
54.666667,6.322080,4.068791,0.084501,0.149999,0.172163
55.111111,6.353698,4.136202,0.065551,0.149999,0.163697
55.555556,6.385050,4.203608,0.083016,0.149999,0.171439
56.000000,6.403097,4.237154,-0.000000,-0.000000,0.000000
56.000000,5.550563,5.223737,0.000000,-0.000000,0.000000
56.444444,5.519996,5.191426,-0.132830,-0.149999,0.200359
56.888889,5.453324,5.128991,-0.149996,-0.149999,0.212128
57.333333,5.383214,5.066723,-0.149976,-0.149999,0.212115
57.777778,5.313277,5.004638,-0.149992,-0.149999,0.212126
58.222222,5.243370,4.942846,-0.149982,-0.149999,0.212118
58.666667,5.173434,4.881341,-0.149989,-0.149999,0.212123
59.111111,5.103419,4.820010,-0.149970,-0.149999,0.212110
59.555556,5.033227,4.758635,-0.149992,-0.149999,0.212126
60.000000,4.998887,4.726521,0.000000,-0.000000,0.000000
60.100000,4.998887,4.726521,0.000000,0.000000,0.000000
60.200000,4.998887,4.726521,0.000000,0.000000,0.000000
60.300000,4.998887,4.726521,0.000000,0.000000,0.000000
60.400000,4.998887,4.726521,0.000000,0.000000,0.000000
60.500000,4.998887,4.726521,0.000000,0.000000,0.000000
